calib_level,common_name,dataRights,dataURI,dataproduct_type,description,filters,inst_family,obsID,obs_collection,obs_id,parent_obsid,productDocumentationURL,productFilename,productGroupDescription,productSubGroupDescription,productType,project,proposal_id,prvversion,size,type
2,Ton 469,PUBLIC,mast:HST/product/le4001lcq_x1d.fits,spectrum,DADS X1D file - Calibrated 1D spectrum STIS,G130M,COS,26258028,HST,le4001lcq,26258031,,le4001lcq_x1d.fits,,X1D,SCIENCE,CALCOS,15826,3.6.1,3389760,S
2,Ton 469,PUBLIC,mast:HST/product/le4001lgq_x1d.fits,spectrum,DADS X1D file - Calibrated 1D spectrum STIS,G130M,COS,26258029,HST,le4001lgq,26258031,,le4001lgq_x1d.fits,,X1D,SCIENCE,CALCOS,15826,3.6.1,3389760,S
3,Ton 469,PUBLIC,mast:HST/product/le4001010_x1dsum.fits,spectrum,DADS XSM file - Calibrated combined extracted 1D spectrum COS,G130M,COS,26258031,HST,le4001010,26258031,,le4001010_x1dsum.fits,Minimum Recommended Products,X1DSUM,SCIENCE,CALCOS,15826,3.6.1,1817280,D
2,Ton 469,PUBLIC,mast:HST/product/leys13clq_x1d.fits,spectrum,DADS X1D file - Calibrated 1D spectrum STIS,G140L,COS,214148665,HST,leys13clq,214148667,,leys13clq_x1d.fits,,X1D,SCIENCE,CALCOS,17211,3.6.1,3389760,S
3,Ton 469,PUBLIC,mast:HST/product/leys13020_x1dsum.fits,spectrum,DADS XSM file - Calibrated combined extracted 1D spectrum COS,G140L,COS,214148667,HST,leys13020,214148667,,leys13020_x1dsum.fits,Minimum Recommended Products,X1DSUM,SCIENCE,CALCOS,17211,3.6.1,1814400,D
2,Ton 469,PUBLIC,mast:HST/product/leys13cjq_x1d.fits,spectrum,DADS X1D file - Calibrated 1D spectrum STIS,G140L,COS,214148675,HST,leys13cjq,214148667,,leys13cjq_x1d.fits,,X1D,SCIENCE,CALCOS,17211,3.6.1,3389760,S
2,Ton 469,PUBLIC,mast:HST/product/leys13coq_x1d.fits,spectrum,DADS X1D file - Calibrated 1D spectrum STIS,G140L,COS,214148676,HST,leys13coq,214148667,,leys13coq_x1d.fits,,X1D,SCIENCE,CALCOS,17211,3.6.1,3389760,S
2,Ton 469,PUBLIC,mast:HST/product/leys13chq_x1d.fits,spectrum,DADS X1D file - Calibrated 1D spectrum STIS,G140L,COS,214148677,HST,leys13chq,214148667,,leys13chq_x1d.fits,,X1D,SCIENCE,CALCOS,17211,3.6.1,3389760,S
3,Ton 469,PUBLIC,mast:HST/product/leys13010_x1dsum.fits,spectrum,DADS XSM file - Calibrated combined extracted 1D spectrum COS,G160M,COS,214100901,HST,leys13010,214100901,,leys13010_x1dsum.fits,Minimum Recommended Products,X1DSUM,SCIENCE,CALCOS,17211,3.6.1,1814400,D
2,Ton 469,PUBLIC,mast:HST/product/leys13bzq_x1d.fits,spectrum,DADS X1D file - Calibrated 1D spectrum STIS,G160M,COS,214100904,HST,leys13bzq,214100901,,leys13bzq_x1d.fits,,X1D,SCIENCE,CALCOS,17211,3.6.1,3389760,S
