mast_target_name,ra_deg,dec_deg,em_min_aa,em_max_aa,obs_id,t_exptime,instrument,target_classification,proposal_id,calib_level,query_classif
STAR-072553+603116-FIELD1,111.4715322357,60.52113888859,,,y2gy0508t,1.399999976158,FOS/RD,CALIBRATION;APERTURE LOCATION;,5531,1,unfiltered
STAR-072553+603116-FIELD1,111.4715322357,60.52113888859,,,y2gy050at,1.399999976158,FOS/RD,CALIBRATION;APERTURE LOCATION;,5531,1,unfiltered
STAR-072553+603116,111.47125,60.52113888889,,,y2gy050st,24.0,FOS/RD,CALIBRATION;APERTURE LOCATION;,5531,1,unfiltered
STAR-072553+603116,111.47125,60.52113888889,,,y2gy050qt,24.0,FOS/RD,CALIBRATION;APERTURE LOCATION;,5531,1,unfiltered
STAR-072553+603116-FIELD2,111.4718108154,60.52085134304,,,y2gy050mt,27.5,FOS/RD,CALIBRATION;APERTURE LOCATION;,5531,1,unfiltered
STAR-072553+603116-FIELD2,111.471537014,60.52086168655,,,y2gy050pt,24.0,FOS/RD,CALIBRATION;APERTURE LOCATION;,5531,1,unfiltered
BD+28D4211,327.7962402965,28.86472322535,2221.0,3301.0,y2cp5501t,3.0,FOS/RD,CALIBRATION;PHOTOMETRIC;,5537,1,unfiltered
PG1115+080,169.5706125,7.766277777778,,,y2gy0801t,96.0,FOS/RD,CALIBRATION;APERTURE LOCATION;AS,5531,1,unfiltered
BD+28D4211,327.7957752198,28.86429468151,2221.0,3301.0,y2cp5502t,12.0,FOS/RD,CALIBRATION;PHOTOMETRIC;,5537,1,unfiltered
BD+28D4211,327.7957857939,28.86437855504,1140.0,2508.0,y2cp5505t,30.0,FOS/RD,CALIBRATION;PHOTOMETRIC;,5537,2,unfiltered
BD+28D4211,327.7959567004,28.86438235983,1140.0,2508.0,y2cp5506t,30.0,FOS/RD,CALIBRATION;PHOTOMETRIC;,5537,2,unfiltered
BD+28D4211,327.7962744152,28.86438943236,1140.0,2508.0,y2cp5509t,30.0,FOS/RD,CALIBRATION;PHOTOMETRIC;,5537,2,unfiltered
BD+28D4211,327.7963232456,28.86439051929,2221.0,3301.0,y2cp550ht,45.0,FOS/RD,CALIBRATION;PHOTOMETRIC;,5537,2,unfiltered
BD+28D4211,327.7966653758,28.86439813436,1140.0,2508.0,y2cp550bt,30.0,FOS/RD,CALIBRATION;PHOTOMETRIC;,5537,2,unfiltered
BD+28D4211,327.7957857939,28.86437855504,2221.0,3301.0,y2cp550ct,45.0,FOS/RD,CALIBRATION;PHOTOMETRIC;,5537,2,unfiltered
BD+28D4211,327.7959567004,28.86438235983,1573.0,2330.0,y2cp550kt,120.0,FOS/RD,CALIBRATION;PHOTOMETRIC;,5537,2,unfiltered
BD+28D4211,327.7957857939,28.86437855504,3240.0,4822.0,y2cp550qt,120.0,FOS/RD,CALIBRATION;PHOTOMETRIC;,5537,2,unfiltered
PG1115+080,169.5706125,7.766277777778,,,y2gy0803t,96.0,FOS/RD,CALIBRATION;APERTURE LOCATION;AS,5531,1,unfiltered
PG1115+080,169.5706125,7.766277777778,,,y2gy0802t,2.727187633514,FOS/RD,CALIBRATION;APERTURE LOCATION;AS,5531,1,unfiltered
F-SPECT1,92.14214166667,24.27776,,,y2k30601t,0.6537500023842,FOS/RD,STELLAR CLUSTER;OPEN CLUSTER;,5767,1,unfiltered
BD+28D4211,327.79625,28.86438888889,2221.0,3301.0,y2cp550ft,45.0,FOS/RD,CALIBRATION;PHOTOMETRIC;,5537,2,unfiltered
BD+28D4211,327.7961279239,28.86438617147,1573.0,2330.0,y2cp550lt,120.0,FOS/RD,CALIBRATION;PHOTOMETRIC;,5537,2,unfiltered
BD+28D4211,327.7957857939,28.86437855504,1573.0,2330.0,y2cp550jt,120.0,FOS/RD,CALIBRATION;PHOTOMETRIC;,5537,2,unfiltered
BD+28D4211,327.7963232456,28.86439051929,1140.0,2508.0,y2cp550at,30.0,FOS/RD,CALIBRATION;PHOTOMETRIC;,5537,2,unfiltered
F-SPECT1,92.14214166667,24.27776,,,y2k30603t,26.20000076294,FOS/RD,STELLAR CLUSTER;OPEN CLUSTER;,5767,1,unfiltered
F-SPECT1,92.14207394335,24.27771140224,,,y2k30102t,50.0,FOS/RD,STELLAR CLUSTER;OPEN CLUSTER;,5767,1,unfiltered
BD+28D4211,327.7966653758,28.86439813436,2221.0,3301.0,y2cp550it,45.0,FOS/RD,CALIBRATION;PHOTOMETRIC;,5537,2,unfiltered
BD+28D4211,327.79625,28.86438888889,1573.0,2330.0,y2cp550mt,120.0,FOS/RD,CALIBRATION;PHOTOMETRIC;,5537,2,unfiltered
BD+28D4211,327.7963232456,28.86439051929,1573.0,2330.0,y2cp550ot,99.99844360352,FOS/RD,CALIBRATION;PHOTOMETRIC;,5537,2,unfiltered
BD+28D4211,327.79625,28.86438888889,3240.0,4822.0,y2cp550tt,135.0,FOS/RD,CALIBRATION;PHOTOMETRIC;,5537,2,unfiltered
BD+28D4211,327.7959567004,28.86438235983,3240.0,4822.0,y2cp550rt,135.0,FOS/RD,CALIBRATION;PHOTOMETRIC;,5537,2,unfiltered
WD0501+527,76.37759674337,52.831270205,2221.0,3301.0,y2k00304t,300.0,FOS/RD,CALIBRATION;FLAT FIELD;PHOTOMETR,5538,1,unfiltered
WD0501+527,76.37752484475,52.83137339334,1573.0,2330.0,y2k00307t,810.0,FOS/RD,CALIBRATION;FLAT FIELD;PHOTOMETR,5538,2,unfiltered
PG1115-FIELD,169.5703483016,7.766475039287,,,y2gy0807t,96.0,FOS/RD,CALIBRATION;APERTURE LOCATION;AS,5531,1,unfiltered
PG1115-FIELD,169.5703483016,7.766475039287,,,y2gy0805t,96.0,FOS/RD,CALIBRATION;APERTURE LOCATION;AS,5531,1,unfiltered
PG1115-FIELD,169.5703483016,7.766475039287,,,y2gy0806t,20.36249923706,FOS/RD,CALIBRATION;APERTURE LOCATION;AS,5531,1,unfiltered
WD0501+527,76.37773923403,52.83130864705,2221.0,3301.0,y2k00303t,100.0,FOS/RD,CALIBRATION;FLAT FIELD;PHOTOMETR,5538,1,unfiltered
