Name,RA,DEC,z,LogLnu2500,Z_SDSS,L3000_THB21
002934.03+242904.7,7.3917958944472835,24.48466331427144,1.73701,30.431575638551664,1.7334078999999998,45.56548340971963
002921.82+243422.6,7.340933627724213,24.572946294714303,1.96922,30.498338678660026,1.9681084999999998,45.60602043804158
002951.22+243206.6,7.463445664861013,24.535175486211013,1.8147,30.27094362168598,1.8167639,45.42617313219702
002955.80+242031.6,7.482500444603544,24.34212311395237,2.70126,30.657535892758382,2.7274130000000003,45.61811670992793
003004.47+242647.3,7.518654409003659,24.446485910805226,1.53819,30.604261700533776,1.539994,45.6387737533242
003237.64+245636.9,8.156857067992178,24.943603851195768,2.1147,31.269601503026948,2.09243,46.209119873595334
003228.77+245808.9,8.119911292482866,24.96915029391284,1.84862,30.44197615369295,1.840238,45.46670093491854
002533.03+253305.7,6.387663471536938,25.551585765337553,2.269,30.884057468857158,2.27,45.94865346964012
002435.30+252309.7,6.1471232648128185,25.386045672279877,1.86847,30.554582435722068,1.8660537,45.45097318789719
002452.71+252544.1,6.219658627204865,25.428920273237384,1.55966,30.692726841493737,1.5565163,45.731483027599054
002331.50+253547.8,5.881278328834924,25.5966293852102,1.55792,29.99182968106055,1.5637382,44.95380290529683
002158.30+242829.9,5.492950508565286,24.474996026458047,2.18821,30.49565650475578,2.2,45.559461447803535
002210.62+251811.2,5.5442666801774285,25.3031175525064,2.65144,30.502451827680545,2.659,45.711791087952726
002226.69+255312.6,5.611216045802221,25.88684877921693,1.71604,30.307519824094797,1.7153003,45.409384233403415
002032.56+245856.0,5.1357026711795015,24.9822258927742,1.63327,30.206042099394814,1.6342573,45.12094578726696
002032.64+244643.1,5.136034569210891,24.77865394895093,1.73861,30.627112226726233,1.743,45.78945322912064
001815.02+254202.5,4.562589835731899,25.700695328241693,2.2292,30.5712822553686,2.228,45.800801884626246
001743.75+251009.3,4.43230896071634,25.16927760112195,2.77913,30.63317621740108,2.7828863,45.54066644240848
001817.57+251940.7,4.573233382279568,25.327996228979426,1.8796,30.439379928712775,1.8759468999999998,45.25675083850906
001626.83+250937.3,4.111823265115049,25.160368396944147,1.56684,30.577184228113914,1.5620039,45.44530817956604
001606.20+264552.1,4.0258641940029065,26.764479487376533,1.78879,30.732846490259412,1.7919577000000002,45.8033806661756
001727.30+265832.3,4.363760963434913,26.97566260989213,1.63876,30.591725782294624,1.6402189999999999,45.48806601763508
001708.22+263902.4,4.284255565698004,26.650681204328066,2.3719,30.450805878678473,2.3600032000000004,45.6060358577057
001734.38+260151.0,4.393255898465326,26.03084275897827,1.66826,30.460040770397335,1.6737727999999998,45.57849570562677
001914.72+262844.6,4.811337676925233,26.47906283531321,1.53479,30.39857412214748,1.5319999999999998,45.51157133937946
001913.53+261314.2,4.806400848245686,26.22062291835599,1.92006,30.423539893262237,1.9165691000000002,45.48448506294486
002051.28+264148.4,5.213698601788224,26.69679560604477,1.63429,30.08503086123239,1.6319566,45.262244174149316
002159.92+264302.1,5.499686434998296,26.717268238926525,2.89651,30.626523742311875,2.9,45.68422086005167
002205.81+263614.1,5.524237759746313,26.60393191598805,1.56596,31.03822618558479,1.5649037000000001,46.03754871615922
002454.89+265157.8,6.2287263232515215,26.86605639142189,2.41675,30.62401377607327,2.421,45.34765873180398
002519.32+265900.8,6.330519750256825,26.98356749951385,1.75498,30.34745368472035,1.7556138,45.46430972196676
002532.11+270445.5,6.383823958117433,27.07933270350696,2.21551,30.89334391391978,2.2126029,45.973561245114034
002539.09+263751.7,6.412880449121418,26.63105206921811,1.9094,30.75681184703759,1.9023848,45.83862633814991
002104.80+232448.9,5.270034240068526,23.4136076327584,2.10897,31.029176844771804,2.101223,46.114948160835844
002158.46+234137.4,5.493601044661431,23.693742854405226,1.8274,30.818907138491134,1.8247266,45.83109825000826
002017.92+235538.7,5.074689877582274,23.92743424298233,1.5596,30.029463894918308,1.5599287,45.03824626646096
002035.31+231332.1,5.147131128738295,23.22560529762436,1.55901,30.39726162919095,1.5591643999999998,45.319972726693116
002042.89+231522.3,5.178744833416374,23.25621025530797,1.80103,30.467373361809422,1.7977495,45.40189684405651
001915.73+234916.8,4.815547197910234,23.821343753341466,1.54379,30.633451429063243,1.5411386,45.668073565192145
001850.36+230106.0,4.709874631122601,23.01835327487955,1.74964,30.618419805999736,1.7470111000000001,45.8196280472622
001819.02+224042.9,4.579261418017096,22.678603866023344,2.07643,30.478597497486504,2.0804066999999997,45.47299729510454
001856.15+224336.0,4.733974714419958,22.726675527144828,1.59202,30.227540856111332,1.5946396999999999,45.08081984990835
001858.14+231007.3,4.74225586446147,23.16872017446056,2.16714,31.22460514292333,2.1642012999999998,46.30035035971132
001817.96+231600.5,4.574851778717517,23.266832742195078,2.24317,30.834051866611276,2.244,45.79031584829481
001510.76+233755.8,3.7948621694328613,23.632169104789835,2.01177,30.39324157672784,2.0117455,45.498230896999964
001532.21+231617.3,3.88421700643579,23.27149132671537,2.10888,30.75870727526202,2.1069846,45.719790904293866
001424.79+234114.0,3.6033015998788183,23.68724387168449,2.03741,30.37055120647228,2.0334632,45.24537487620146
001432.86+225219.8,3.6369505247539,22.87218693544752,1.89302,30.307436578909545,1.8848504000000001,45.376490094674494
001354.70+231521.4,3.4779313667477822,23.25597051677907,2.0873,30.616195232750897,2.0826347,45.695472150517574
001333.11+231944.0,3.3879794435429744,23.32890033732396,1.81572,30.167367955681627,1.8221561999999998,45.379167898256945
001249.72+231125.1,3.207180914955586,23.19032426038137,1.91729,30.46204801390038,1.9219881999999997,45.462587407057136
001230.15+225038.1,3.1256456053909005,22.843932407982468,1.63183,30.1981951093466,1.6346371000000002,45.193327505849815
001129.50+225135.3,2.87292330552782,22.859820706269197,2.05526,30.92857107223208,2.0552436999999997,45.76360388227576
001002.24+235504.4,2.5093629665512367,23.91791619071364,1.98021,30.474122229175997,1.9791826000000001,45.62274462292171
001334.40+244122.4,3.3933605547784964,24.6895643964634,1.90182,30.77832292625647,1.9000793000000002,46.0393981162376
001316.49+241210.2,3.3187282274575414,24.202834494760733,2.17622,30.399353324870276,2.176,45.29527353408854
001331.47+235440.8,3.3811301221064696,23.911338331252928,1.67832,30.573949178142364,1.6750770000000001,45.739066973072056
001444.74+242104.9,3.6864539494550286,24.351362699818612,2.56847,30.7721728437853,2.5657275,45.73599171969033
001536.88+250032.0,3.903671990254906,25.00891221315177,1.87423,30.383689300312184,1.8655504,45.344834280681624
001617.50+245756.7,4.072935513321569,24.96575163472044,1.90761,30.591094054683253,1.9096017,45.606517994031925
001631.10+242504.7,4.129609260997427,24.417979569643226,2.35103,30.553929774390916,2.356,45.45526911561635
001642.36+240956.9,4.176506015983591,24.165813251943533,1.97859,30.381378840720622,1.9828888,45.38628550384513
001639.87+240144.1,4.166162173770033,24.028919494134435,2.28024,30.57975790401361,2.276,45.7201329723863
001708.08+235703.7,4.283702275853102,23.95103543406364,2.12169,30.46701217888173,2.1225848,45.51736891805759
001819.43+250249.5,4.5809892689097165,25.04710134103701,2.64219,31.05958365242003,2.6452875,45.421000994241425
001732.40+244233.4,4.3850303634817465,24.7092795523478,2.41571,30.58779480807187,2.417,45.562821056073744
001822.21+240614.3,4.592549920505633,24.103989439888373,1.61987,30.140202461468874,1.6223923,45.04066443080047
001821.58+242048.8,4.589943846348318,24.34690792352141,1.99617,30.41903459374994,1.9966232,45.48527751727965
001840.87+240628.3,4.6703096673285245,24.107865781008634,1.61883,30.22372158399346,1.6167831,45.4167741481833
001826.07+235812.0,4.608659618464343,23.970027405388088,2.38299,30.880947536176613,2.378,45.846570434498574
001852.05+240007.2,4.7169064850372715,24.002017159223303,2.57782,30.647917696949136,2.568,45.58026141441656
001907.17+244455.0,4.779897697138097,24.748613605379948,1.7913,30.510117425899978,1.7839841,45.720164122716454
001952.48+242031.7,4.968704667162625,24.34214406942388,1.72693,30.71050376187383,1.7183918999999999,45.865347053200644
001955.22+244150.2,4.980087669716682,24.69728478342649,1.95731,30.58582326986828,1.9566416000000002,45.61296708731655
001954.20+241819.4,4.9758560452494285,24.305392874846373,1.65124,30.533451635298867,1.6464788000000001,45.632717762839164
002113.31+242753.9,5.305468766693423,24.464974253780042,1.61085,30.25111298281474,1.6094628999999998,45.4836845696686
002056.13+240717.1,5.2338985979032495,24.12142284874395,1.62759,30.2616677902736,1.6265479999999999,45.60335035156853
002127.00+240137.2,5.3625220971523495,24.02700187320692,2.72182,31.176371206398414,2.725126700000001,46.20413016996984
