object_name,spec_name,redshift,CIV_blueshift,CIV_EW,f2500,components_used,manual_masking_applied,forced_components
7C 170448.10+361856.00_STIS,7C 170448.10+361856.00_STIS,0.9166898715211488,-78.78126855460229,29.92359847121833,0.437939271634397,,False,False
87GB 004432.0+030343_FOS,87GB 004432.0+030343_FOS,0.6231,611.3922089991388,67.27084598042751,0.47750858978085425,,False,False
87GB 121807.5+173455_COS,87GB 121807.5+173455_COS,0.4433122496293902,473.48142602680343,52.17011091507143,0.4561638155907087,,False,False
AKN120_STIS,AKN120_STIS,0.0323,1231.1678756744097,79.19595284196852,1.0398447721686883,,False,False
ATO J115.9667+27.2109_STIS,ATO J115.9667+27.2109_STIS,0.2527472175168159,-493.63657485092835,30.80247016979176,1.021571847630808,,False,False
ATO J117.7559+29.2386_COS,ATO J117.7559+29.2386_COS,0.1210142853943256,749.2255466349936,40.05614195052099,0.48652260001567077,,False,False
ATO J200.4373+03.5154_COS,ATO J200.4373+03.5154_COS,0.2685675796918334,266.5087642305957,112.81986626289442,0.48027282623390033,,False,False
B20110+29_FOS,B20110+29_FOS,0.3625039458420198,887.0008002684879,203.93793648387327,0.2580241816024546,,False,False
B21248+30_FOS,B21248+30_FOS,1.0606118009282,128.44309058521125,102.7977791764779,0.48108982274769735,,False,False
CSO 1075_STIS,CSO 1075_STIS,0.4643861529384748,955.8690657511149,60.31427209995865,0.5513015160387937,,False,False
CSO 606_STIS,CSO 606_STIS,0.4592440194679221,-9.680667062489581,52.933002532543675,0.617132185627534,,False,False
CXOMP J141123.4+521331_STIS,CXOMP J141123.4+521331_STIS,0.4720930256692396,-286.1411570333448,263.8292761215948,0.5341598532495727,,False,False
Crt A_FOS,Crt A_FOS,0.5562,-355.2804811936978,80.18881535507533,0.4951520893752189,,False,False
ESO 113-45_FOS,ESO 113-45_FOS,0.0461,-9.680667062489581,153.8294592375105,0.7670201717195754,,False,False
ESO 113-45_STIS,ESO 113-45_STIS,0.0461,2398.385264733984,266.822623162052,1.0889864565708973,,False,False
ESO 141-55_COS,ESO 141-55_COS,0.037109,404.4969925394556,93.8828195900935,0.5166595008475935,,False,False
ESO 31-8_COS,ESO 31-8_COS,0.027619,-562.8339830136417,157.4357902057896,0.44604963582308005,,False,False
ESO 462-9_COS,ESO 462-9_COS,0.019277,1162.3770555283074,251.0143520662199,0.39222732835169055,,False,False
ESO 499-41_COS,ESO 499-41_COS,0.012816,680.3185584841262,1.9853805433874354,0.7848890320369556,,False,False
FBQSJ074541.6+314256_FOS,FBQSJ074541.6+314256_FOS,0.4613060573299271,335.5125590520637,104.9711224535855,0.542327727947021,,False,False
H1821+643_FOS,H1821+643_FOS,0.2972,-1880.6438288974546,8.763699274626159,0.7019782640156872,,False,False
H1821+643_STIS,H1821+643_STIS,0.2972,9574.141002142673,0.0,0.4231845294063974,,False,False
HS1543+5921_STIS,HS1543+5921_STIS,0.8118231558161655,4174.7295867000685,14.194713558231392,0.45396954003237155,,False,False
ICRF J000559.2+160949_FOS,ICRF J000559.2+160949_FOS,0.4504,-9.680667062489581,58.32631230748317,0.5304064123422372,,False,False
ICRF J013738.3-243053_STIS,ICRF J013738.3-243053_STIS,0.835,-493.63657485092835,27.881663500703233,0.5026957660097175,,False,False
ICRF J020157.1-113233_FOS,ICRF J020157.1-113233_FOS,0.6713,1299.9586958205564,9.160176821941054,0.5266253258584264,,False,False
ICRF J074110.7+311200_FOS,ICRF J074110.7+311200_FOS,0.6319561457647479,-632.0507525105193,27.412045208266168,0.46681087622455736,,False,False
ICRF J074110.7+311200_STIS,ICRF J074110.7+311200_STIS,0.6319561457647479,542.4464981800312,322.1598391771561,1.3725488061531543,,False,False
ICRF J083052.0+241059_FOS,ICRF J083052.0+241059_FOS,0.942441182201089,542.4464981800312,8.001128772715855,0.9942027973168343,,False,False
ICRF J103059.0+310255_FOS,ICRF J103059.0+310255_FOS,0.1777851648275505,-78.78126855460229,17.532948219316918,5.366302448907288e-05,,False,False
ICRF J113957.0+654749_FOS,ICRF J113957.0+654749_FOS,0.6465,-2576.567622686329,43.793302838285086,0.8951673264149627,,False,False
ICRF J130533.0-103319_COS,ICRF J130533.0-103319_COS,0.2783,-493.63657485092835,173.42622602891137,0.3744997095656963,,False,False
ICRF J130533.0-103319_FOS,ICRF J130533.0-103319_FOS,0.2783,266.5087642305957,7.071148369146982,0.5938748346798831,,False,False
LBQS 1230-0015_COS,LBQS 1230-0015_COS,0.4716400520987808,-147.88187004671502,249.28621766081693,0.7427100512529399,,False,False
LBQS 1235+1807_STIS,LBQS 1235+1807_STIS,0.4534610520264962,1437.4822521104009,146.11275033515378,0.4860555920548033,,False,False
LBQS 1340-0020_STIS,LBQS 1340-0020_STIS,0.7867421695036091,335.5125590520637,28.92836555254982,0.49100447218610127,,False,False
LBQS 1340-0038_FOS,LBQS 1340-0038_FOS,0.3269400977285094,1574.9477243978852,48.032948960819255,0.4914287536136863,,False,False
LBQS 2350-0045B_STIS,LBQS 2350-0045B_STIS,0.7645967254752307,335.5125590520637,80.07493512677478,0.49813915697273775,,False,False
LBQS-1338-0038_COS,LBQS-1338-0038_COS,0.2367316779315824,-1186.3463871750678,211.72163258858663,0.523329937947707,,False,False
LBQS0003+0146_FOS,LBQS0003+0146_FOS,0.233371515304252,266.5087642305957,47.42494174162462,0.541046108896811,,False,False
